X_id,Merged Injuries,DOS,TABLE_B_X_id,laser_color_merged
5d2de1682834ae4512fef7ab,3,2/4/11,5d2de1682834ae4512fef7ab,1
5d2de1682834ae4512fef8d4,1,1/27/11,5d2de1682834ae4512fef8d4,1
5d2de1682834ae4512fef93c,1,1/27/11,5d2de1682834ae4512fef93c,1
5d2de1692834ae4512fefa4c,1,1/29/11,5d2de1692834ae4512fefa4c,1
5d2de1692834ae4512fefbcb,1,2/11/11,5d2de1692834ae4512fefbcb,1
5d2de1682834ae4512fef997,3,1/28/11,5d2de1682834ae4512fef997,1
5d2de1692834ae4512fef9d3,1,1/28/11,5d2de1692834ae4512fef9d3,1
5d2de1692834ae4512fefb72,1,1/30/11,5d2de1692834ae4512fefb72,1
5d2de1682834ae4512fef8bd,1,1/24/11,5d2de1682834ae4512fef8bd,1
5d2de1682834ae4512fef90c,1,1/27/11,5d2de1682834ae4512fef90c,1
5d2de1682834ae4512fef7b8,1,1/24/11,5d2de1682834ae4512fef7b8,1
5d2de1682834ae4512fef7ba,1,1/24/11,5d2de1682834ae4512fef7ba,1
5d2de1682834ae4512fef7c0,1,1/25/11,5d2de1682834ae4512fef7c0,1
5d2de1682834ae4512fef85f,1,1/25/11,5d2de1682834ae4512fef85f,1
5d2de1692834ae4512fefab5,1,1/30/11,5d2de1692834ae4512fefab5,1
5d2de1682834ae4512fef7e3,1,1/25/11,5d2de1682834ae4512fef7e3,1
5d2de1682834ae4512fef8fa,1,1/24/11,5d2de1682834ae4512fef8fa,1
