X_id,year,month,week,wday,day,hour,minute,DOS,DOS_MONTH,DOS_QUARTER,DOS_WEEKNUMBER,DOS_WEEKDAY,DOS_MINUTE,DOS_HOUR,DOS_DAY,DOS_YEAR
5d2de3962834ae451204abe0,2017,8,33,1,13,6,12,12:00.0,8,3,32,7,12,6,13,2017
5d2de3962834ae451204abeb,2017,4,17,3,25,3,56,56:00.0,4,2,17,2,56,3,25,2017
5d2de3962834ae451204abec,NA,NA,NA,NA,NA,NA,NA,07:00.0,2,1,5,3,7,2,1,2012
5d2de3962834ae451204abf6,2017,2,9,1,26,3,20,20:00.0,2,1,8,7,20,3,26,2017
5d2de3962834ae451204abfa,2017,7,27,2,3,5,0,00:00.0,7,3,27,1,0,5,3,2017
5d2de3962834ae451204abfb,2017,7,30,7,29,6,19,19:00.0,7,3,30,6,19,6,29,2017
5d2de3962834ae451204ac07,2017,8,34,3,22,3,46,46:00.0,8,3,34,2,46,3,22,2017
5d2de3962834ae451204ac0e,2017,3,10,1,5,2,11,11:00.0,3,1,9,7,11,2,5,2017
5d2de3962834ae451204ac1f,2017,6,25,1,18,2,41,41:00.0,6,2,24,7,41,2,18,2017
5d2de3962834ae451204ac26,2017,4,14,4,5,1,55,55:00.0,4,2,14,3,55,1,5,2017
5d2de3962834ae451204ac3b,2017,8,33,5,17,3,58,58:00.0,8,3,33,4,58,3,17,2017
5d2de3962834ae451204ac3f,NA,NA,NA,NA,NA,NA,NA,07:00.0,2,1,5,3,7,2,1,2012
5d2de3962834ae451204ac41,NA,NA,NA,NA,NA,NA,NA,07:00.0,2,1,5,3,7,2,1,2012
5d2de3962834ae451204ac43,2017,2,7,4,15,0,30,30:00.0,2,1,7,3,30,0,15,2017
5d2de3962834ae451204ac59,2017,3,9,6,3,2,55,55:00.0,3,1,9,5,55,2,3,2017
5d2de3962834ae451204ac5b,2017,3,12,5,23,2,23,23:00.0,3,1,12,4,23,2,23,2017
5d2de3962834ae451204ac69,2017,3,13,3,28,5,41,41:00.0,3,1,13,2,41,5,28,2017
5d2de3962834ae451204ac74,2017,8,32,5,10,6,24,24:00.0,8,3,32,4,24,6,10,2017
5d2de3962834ae451204ac84,2017,4,18,1,30,4,9,09:00.0,4,2,17,7,9,4,30,2017
5d2de3962834ae451204ac8a,2017,7,28,7,15,2,55,55:00.0,7,3,28,6,55,2,15,2017
5d2de3962834ae451204ac97,2017,6,25,5,22,6,53,53:00.0,6,2,25,4,53,6,22,2017
